Model,Criterion,Sparsity,Balanced Acc,Mel Sens,Mel AUROC,Macro AUROC,ECE,DCR,Spec@90Sens,n
deit_small,Dense,0%,0.914 ± 0.032,0.896 ± 0.030,0.964 ± 0.010,0.986 ± 0.008,0.017 ± 0.009,0.00 ± 0.00,0.905 ± 0.031,20
deit_small,Magnitude,20%,0.920 ± 0.001,0.908 ± 0.001,0.964 ± 0.000,0.987 ± 0.001,0.023 ± 0.004,-0.56 ± 1.50,0.907 ± 0.001,16
deit_small,Magnitude,30%,0.869 ± 0.074,0.909 ± 0.075,0.953 ± 0.025,0.978 ± 0.017,0.035 ± 0.020,0.05 ± 0.25,0.872 ± 0.068,4
deit_small,Magnitude,40%,0.884 ± 0.007,0.861 ± 0.010,0.944 ± 0.002,0.980 ± 0.001,0.030 ± 0.001,1.54 ± 0.11,0.858 ± 0.002,16
deit_small,Magnitude,50%,0.789 ± 0.026,0.571 ± 0.052,0.881 ± 0.018,0.959 ± 0.007,0.035 ± 0.008,1.89 ± 0.42,0.663 ± 0.029,20
deit_small,Magnitude,60%,0.527 ± 0.008,0.204 ± 0.023,0.719 ± 0.043,0.873 ± 0.003,0.038 ± 0.001,1.02 ± 0.10,0.314 ± 0.068,16
deit_small,Magnitude,70%,0.144 ± 0.003,0.000 ± 0.000,0.621 ± 0.031,0.693 ± 0.010,0.652 ± 0.004,0.65 ± 0.02,0.181 ± 0.046,20
deit_small,Wanda,20%,0.915 ± 0.002,0.870 ± 0.005,0.963 ± 0.001,0.987 ± 0.001,0.017 ± 0.001,3.11 ± 2.12,0.892 ± 0.007,16
deit_small,Wanda,30%,0.852 ± 0.070,0.866 ± 0.069,0.952 ± 0.022,0.978 ± 0.016,0.027 ± 0.006,0.83 ± 0.19,0.869 ± 0.055,4
deit_small,Wanda,40%,0.829 ± 0.002,0.754 ± 0.049,0.928 ± 0.007,0.972 ± 0.000,0.032 ± 0.001,1.37 ± 0.05,0.801 ± 0.036,16
deit_small,Wanda,50%,0.612 ± 0.018,0.541 ± 0.042,0.837 ± 0.018,0.923 ± 0.006,0.099 ± 0.005,0.77 ± 0.09,0.568 ± 0.044,20
deit_small,Wanda,60%,0.376 ± 0.015,0.063 ± 0.007,0.799 ± 0.025,0.797 ± 0.002,0.289 ± 0.005,1.03 ± 0.07,0.537 ± 0.080,16
deit_small,Wanda,70%,0.147 ± 0.006,0.000 ± 0.000,0.717 ± 0.036,0.701 ± 0.019,0.187 ± 0.011,0.64 ± 0.02,0.336 ± 0.077,20
deit_small,Taylor,20%,0.915 ± 0.005,0.885 ± 0.008,0.961 ± 0.001,0.986 ± 0.001,0.018 ± 0.006,3.10 ± 4.18,0.883 ± 0.011,16
deit_small,Taylor,30%,0.868 ± 0.077,0.893 ± 0.075,0.952 ± 0.026,0.979 ± 0.017,0.030 ± 0.007,-170.87 ± 198.49,0.872 ± 0.070,4
