Model,Criterion,Sparsity,Recovery epochs,LR,Balanced Acc,Mel Sens,DCR,n
deit_small,Magnitude,50%,5,—,0.789 ± 0.004,0.566 ± 0.054,1.82 ± 0.47,6
deit_small,Magnitude,50%,10,—,0.789 ± 0.004,0.566 ± 0.054,1.82 ± 0.47,6
deit_small,Magnitude,50%,20,—,0.789 ± 0.004,0.566 ± 0.054,1.82 ± 0.47,6
deit_small,Magnitude,70%,5,—,0.143 ± 0.000,0.000 ± 0.000,0.66 ± 0.01,6
deit_small,Magnitude,70%,10,—,0.143 ± 0.000,0.000 ± 0.000,0.66 ± 0.01,6
deit_small,Magnitude,70%,20,—,0.143 ± 0.000,0.000 ± 0.000,0.66 ± 0.01,6
deit_small,Paxton (skewness),50%,5,—,0.702 ± 0.004,0.433 ± 0.058,1.55 ± 0.08,6
deit_small,Paxton (skewness),50%,10,—,0.702 ± 0.004,0.433 ± 0.058,1.55 ± 0.08,6
deit_small,Paxton (skewness),50%,20,—,0.702 ± 0.004,0.433 ± 0.058,1.55 ± 0.08,6
deit_small,Paxton (skewness),70%,5,—,0.216 ± 0.010,0.011 ± 0.003,0.92 ± 0.01,6
deit_small,Paxton (skewness),70%,10,—,0.216 ± 0.010,0.011 ± 0.003,0.92 ± 0.01,6
deit_small,Paxton (skewness),70%,20,—,0.216 ± 0.010,0.011 ± 0.003,0.92 ± 0.01,6
deit_small,SparseGPT (diag-OBS),50%,5,—,0.213 ± 0.002,0.000 ± 0.000,1.16 ± 0.04,6
deit_small,SparseGPT (diag-OBS),50%,10,—,0.213 ± 0.002,0.000 ± 0.000,1.16 ± 0.04,6
deit_small,SparseGPT (diag-OBS),50%,20,—,0.213 ± 0.002,0.000 ± 0.000,1.16 ± 0.04,6
deit_small,SparseGPT (diag-OBS),70%,5,—,0.143 ± 0.000,0.000 ± 0.000,0.66 ± 0.01,6
deit_small,SparseGPT (diag-OBS),70%,10,—,0.143 ± 0.000,0.000 ± 0.000,0.66 ± 0.01,6
deit_small,SparseGPT (diag-OBS),70%,20,—,0.143 ± 0.000,0.000 ± 0.000,0.66 ± 0.01,6
deit_small,Taylor,50%,5,—,0.756 ± 0.006,0.849 ± 0.029,1.26 ± 0.16,6
deit_small,Taylor,50%,10,—,0.756 ± 0.006,0.849 ± 0.029,1.26 ± 0.16,6
deit_small,Taylor,50%,20,—,0.756 ± 0.006,0.849 ± 0.029,1.26 ± 0.16,6
deit_small,Taylor,70%,5,—,0.462 ± 0.001,0.481 ± 0.188,0.98 ± 0.28,6
deit_small,Taylor,70%,10,—,0.462 ± 0.001,0.481 ± 0.188,0.98 ± 0.28,6
deit_small,Taylor,70%,20,—,0.462 ± 0.001,0.481 ± 0.188,0.98 ± 0.28,6
deit_small,Wanda,50%,5,—,0.608 ± 0.021,0.522 ± 0.047,0.82 ± 0.12,6
deit_small,Wanda,50%,10,—,0.608 ± 0.021,0.522 ± 0.047,0.82 ± 0.12,6
deit_small,Wanda,50%,20,—,0.608 ± 0.021,0.522 ± 0.047,0.82 ± 0.12,6
deit_small,Wanda,70%,5,—,0.153 ± 0.002,0.000 ± 0.000,0.64 ± 0.01,6
deit_small,Wanda,70%,10,—,0.153 ± 0.002,0.000 ± 0.000,0.64 ± 0.01,6
deit_small,Wanda,70%,20,—,0.153 ± 0.002,0.000 ± 0.000,0.64 ± 0.01,6
deit_small,X-Pruner,50%,5,—,0.870 ± 0.001,0.842 ± 0.021,1.89 ± 0.33,6
deit_small,X-Pruner,50%,10,—,0.870 ± 0.001,0.842 ± 0.021,1.89 ± 0.33,6
deit_small,X-Pruner,50%,20,—,0.870 ± 0.001,0.842 ± 0.021,1.89 ± 0.33,6
deit_small,X-Pruner,70%,5,—,0.618 ± 0.012,0.597 ± 0.016,1.01 ± 0.15,6
deit_small,X-Pruner,70%,10,—,0.618 ± 0.012,0.597 ± 0.016,1.01 ± 0.15,6
deit_small,X-Pruner,70%,20,—,0.618 ± 0.012,0.597 ± 0.016,1.01 ± 0.15,6
deit_tiny,Magnitude,50%,5,—,0.768 ± 0.013,0.511 ± 0.049,4.24 ± 1.69,6
