model,criterion,sparsity,recovery_epochs,best_epoch,overall_acc,balanced_acc,akiec_sensitivity,bcc_sensitivity,bkl_sensitivity,df_sensitivity,mel_sensitivity,nv_sensitivity,vasc_sensitivity,size_kb
deit_small,magnitude,0.5,0,0,0.8662006989515726,0.8133089231725933,0.8153846153846154,0.8349514563106796,0.7,0.9130434782608696,0.6367713004484304,0.935868754660701,0.8571428571428571,43170.02734375
deit_small,magnitude,0.5,5,5,0.8811782326510235,0.8726500848608707,0.8153846153846154,0.8640776699029126,0.8227272727272728,0.9565217391304348,0.7757847533632287,0.9097688292319165,0.9642857142857143,43170.02734375
deit_small,taylor,0.5,0,0,0.8632051922116825,0.8008149014416669,0.6923076923076923,0.8058252427184466,0.6909090909090909,0.9130434782608696,0.6771300448430493,0.9336316181953764,0.8928571428571429,43170.02734375
deit_small,taylor,0.5,5,1,0.8666999500748876,0.85812866833879,0.8,0.8737864077669902,0.7727272727272727,0.9565217391304348,0.820627802690583,0.8903803131991052,0.8928571428571429,43170.02734375
deit_small,wanda,0.5,0,0,0.8152770843734398,0.6846287368903751,0.6461538461538462,0.4466019417475728,0.5272727272727272,0.9130434782608696,0.4439461883408072,0.9582401193139448,0.8571428571428571,43170.02734375
deit_small,wanda,0.5,5,4,0.8681977034448327,0.8377749868423701,0.7692307692307693,0.8640776699029126,0.759090909090909,0.9130434782608695,0.757847533632287,0.9082774049217002,0.8928571428571429,43170.02734375
deit_tiny,magnitude,0.5,0,0,0.8432351472790813,0.8039570107719685,0.7692307692307693,0.9320388349514565,0.5863636363636363,0.8260869565217391,0.6771300448430493,0.9082774049217002,0.9285714285714286,11217.02734375
deit_tiny,magnitude,0.5,5,3,0.8502246630054917,0.8448039099364687,0.8461538461538461,0.9223300970873787,0.7272727272727273,0.8260869565217391,0.7892376681614349,0.8739746457867263,0.9285714285714286,11217.02734375
deit_tiny,taylor,0.5,0,0,0.8347478781827259,0.7197739019622161,0.8307692307692308,0.7475728155339806,0.55,0.6086956521739131,0.5381165919282511,0.941834451901566,0.8214285714285714,11217.02734375
deit_tiny,taylor,0.5,5,4,0.8432351472790813,0.8356929224635748,0.8461538461538461,0.912621359223301,0.7636363636363637,0.8260869565217391,0.6995515695067265,0.8732289336316182,0.9285714285714286,11217.02734375
deit_tiny,wanda,0.5,0,0,0.7518721917124314,0.6137267338194959,0.7230769230769231,0.3786407766990291,0.3454545454545454,0.6956521739130435,0.5560538116591929,0.8829231916480239,0.7142857142857143,11217.02734375
deit_tiny,wanda,0.5,5,5,0.8167748377433849,0.7935756880390449,0.8,0.8349514563106796,0.7227272727272728,0.7391304347826086,0.7174887892376681,0.8478747203579419,0.8928571428571429,11217.02734375
