model,criterion,sparsity,overall_acc,balanced_acc,mel_sensitivity,bcc_sensitivity,akiec_sensitivity,nv_sensitivity,bkl_sensitivity,df_sensitivity,vasc_sensitivity,nonzero_params,size_kb,timestamp
deit_tiny,dense,0.0,0.640625,0.23227513227513225,0.0,0.0,0.2,0.9259259259259259,0.5,0.0,0.0,5525767,21640.8818359375,2026-04-18T21:17:42+00:00
deit_tiny,magnitude,0.2,0.625,0.22874779541446208,0.0,0.0,0.2,0.9012345679012346,0.5,0.0,0.0,4246733,17437.828125,2026-04-18T21:17:45+00:00
deit_tiny,magnitude,0.4,0.6171875,0.17764782326185835,0.10526315789473684,0.0,0.2,0.9382716049382716,0.0,0.0,0.0,3185050,13290.62890625,2026-04-18T21:17:47+00:00
deit_tiny,magnitude,0.5,0.6171875,0.265237166991553,0.15789473684210525,0.2222222222222222,0.6,0.8765432098765432,0.0,0.0,0.0,2654208,11217.02734375,2026-04-18T21:17:49+00:00
deit_tiny,magnitude,0.6,0.5078125,0.23027476097651536,0.2631578947368421,0.4444444444444444,0.0,0.654320987654321,0.25,0.0,0.0,2123366,9143.42578125,2026-04-18T21:17:51+00:00
deit_tiny,magnitude,0.7,0.0703125,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1592525,7069.828125,2026-04-18T21:17:53+00:00
deit_tiny,wanda,0.2,0.6171875,0.1798941798941799,0.0,0.0,0.0,0.9259259259259259,0.3333333333333333,0.0,0.0,4246733,17437.828125,2026-04-18T21:17:56+00:00
deit_tiny,wanda,0.4,0.640625,0.19708994708994707,0.0,0.3333333333333333,0.0,0.9629629629629629,0.08333333333333333,0.0,0.0,3185050,13290.62890625,2026-04-18T21:17:59+00:00
deit_tiny,wanda,0.5,0.1171875,0.15343915343915343,0.0,1.0,0.0,0.07407407407407407,0.0,0.0,0.0,2654208,11217.02734375,2026-04-18T21:18:02+00:00
deit_tiny,wanda,0.6,0.078125,0.13051146384479717,0.0,0.8888888888888888,0.0,0.024691358024691357,0.0,0.0,0.0,2123366,9143.42578125,2026-04-18T21:18:05+00:00
deit_tiny,wanda,0.7,0.09375,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1592525,7069.828125,2026-04-18T21:18:09+00:00
deit_tiny,taylor,0.2,0.6015625,0.21331569664902997,0.0,0.0,0.2,0.8765432098765432,0.4166666666666667,0.0,0.0,4246733,17437.828125,2026-04-18T21:18:12+00:00
deit_tiny,taylor,0.4,0.5625,0.17768959435626103,0.0,0.0,0.0,0.8271604938271605,0.4166666666666667,0.0,0.0,3185050,13290.62890625,2026-04-18T21:18:15+00:00
deit_tiny,taylor,0.5,0.484375,0.14991181657848324,0.0,0.0,0.0,0.7160493827160493,0.3333333333333333,0.0,0.0,2654208,11217.02734375,2026-04-18T21:18:18+00:00
deit_tiny,taylor,0.6,0.3203125,0.15617748073888424,0.21052631578947367,0.0,0.0,0.38271604938271603,0.5,0.0,0.0,2123366,9143.42578125,2026-04-18T21:18:21+00:00
deit_tiny,taylor,0.7,0.15625,0.10981156595191684,0.05263157894736842,0.2222222222222222,0.0,0.16049382716049382,0.3333333333333333,0.0,0.0,1592525,7069.828125,2026-04-18T21:18:24+00:00
deit_tiny,random,0.2,0.140625,0.15343915343915343,0.0,0.0,0.0,0.07407407407407407,1.0,0.0,0.0,4246733,17437.828125,2026-04-18T21:18:28+00:00
deit_tiny,random,0.4,0.078125,0.07683560753736192,0.2631578947368421,0.0,0.0,0.024691358024691357,0.25,0.0,0.0,3185050,13290.62890625,2026-04-18T21:18:31+00:00
deit_tiny,random,0.5,0.078125,0.11027568922305764,0.10526315789473684,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,2654208,11217.02734375,2026-04-18T21:18:35+00:00
deit_tiny,random,0.6,0.09375,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2123366,9143.42578125,2026-04-18T21:18:38+00:00
deit_tiny,random,0.7,0.078125,0.07957393483709273,0.47368421052631576,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,1592525,7069.828125,2026-04-18T21:18:41+00:00
